Name\footnote{Genus, genus and species, or description based on likely relative.}	EPS nomenclature	Xyl nomenclature
Microbacterium	EPS2.A9	Xyl1.D7
Microbacterium	EPS2.C1	Xyl1.D8
Microbacterium	EPS2.C2	Xyl1.D9
Microbacterium	EPS2.C3	Xyl1.D10
Microbacterium	EPS2.C4	Xyl1.D11
Microbacterium	EPS2.C5	Xyl1.D12
Microbacterium	EPS2.C6	Xyl1.E1
Microbacterium	EPS2.C7	Xyl1.E2
Microbacterium	EPS2.C9	Xyl1.E3
Microbacterium	EPS2.E2	Xyl1.E4
Microbacterium	EPS2.E3	Xyl1.E5
Microbacterium	EPS2.E4	Xyl1.E6
Microbacterium	EPS2.E5	Xyl1.E7
Microbacterium, related	EPS1.D12	Xyl1.E8
Microbacterium, related	EPS2.A4	Xyl1.E9
Microbacterium, related	EPS1.F7	Xyl1.E10
Microbacterium, related	EPS2.A8	Xyl1.E11
Micrococcus	EPS1.D7	Xyl2.C9
Sphingobacterium, related	EPS1.D11	Xyl2.C10
Paenibacillus	EPS1.G3	Xyl1.F1
Paenibacillus	EPS1.G4	Xyl1.F2
Paenibacillus	EPS1.G7	Xyl1.F3
Paenibacillus	EPS1.G8	Xyl1.F4
Paenibacillus	EPS1.H7	Xyl1.F5
Paenibacillus	EPS2.B5	Xyl1.F6
Paenibacillus	EPS2.B6	Xyl1.F7
Paenibacillus	EPS2.F5	Xyl1.F8
Paenibacillus	EPS2.H2	Xyl1.F9
Pseudomonas	EPS1.A2	Xyl1.F10
Pseudomonas	EPS1.A5	Xyl1.F11
Pseudomonas	EPS1.A6	Xyl1.F12
Pseudomonas	EPS1.A8	Xyl1.G1
Pseudomonas	EPS1.A9	Xyl1.G2
Pseudomonas	EPS1.A10	Xyl1.G3
Pseudomonas	EPS1.A12	Xyl1.G4
Pseudomonas	EPS1.B3	Xyl1.G5
Pseudomonas	EPS1.C6	Xyl1.G6
Pseudomonas	EPS1.C9	Xyl1.G7
Pseudomonas	EPS1.C12	Xyl1.G8
Pseudomonas	EPS1.D9	Xyl1.G9
Pseudomonas	EPS1.D10	Xyl1.G10
Pseudomonas	EPS1.G6	Xyl1.G11
Pseudomonas	EPS1.H2	Xyl1.G12
Pseudomonas	EPS2.A6	Xyl1.H1
Pseudomonas	EPS2.C12	Xyl1.H2
Pseudomonas	EPS2.D4	Xyl1.H3
Rahnella	EPS1.B5	Xyl2.C11
Rahnella	EPS2.F8	Xyl2.C12
Rahnella	EPS2.F9	Xyl2.D1
Rahnella	EPS2.F11	Xyl2.D2
Raoultella	EPS1.C5	Xyl2.D3
Rhizobium	EPS2.B4	Xyl2.D4
Rhodococcus	EPS1.H5	Xyl1.H4
Rhodococcus	EPS1.H6	Xyl1.H5
Rhodococcus	EPS1.H9	Xyl1.H6
Rhodococcus	EPS2.D3	Xyl1.H7
Sphingomonas	EPS1.E4	Xyl1.H8
Sphingomonas	EPS1.E10	Xyl1.H9
Sphingomonas	EPS2.A11	Xyl1.H10
Sphingomonas	EPS2.B3	Xyl1.H11
Sphingomonas	EPS2.H1	Xyl1.H12
Xanthomonas	EPS1.H3	Xyl2.B6
Xanthomonas	EPS2.H5	Xyl2.B7
Xanthomonas	EPS2.H7	Xyl2.B8
Xanthomonas	EPS2.H8	Xyl2.B9
Xanthomonas campestris pv. campestris (LMG 8031)	EPS1.A1	Xyl2.B10
Pseudomonas	EPS1.A7	0
Pseudomonas	EPS1.A11	0
Arthrobacter	EPS1.C1	0
Arthrobacter	EPS1.C2	0
Pseudomonas	EPS1.D2	0
Micrococcus	EPS1.D5	0
Paracoccus	EPS1.D8	0
Sphingomonas	EPS1.E2	0
Sphingomonas, related	EPS1.E6	0
Sphingomonas, related	EPS1.E7	0
Kaistobacter, related	EPS1.E11	0
0	EPS1.E12	0
Sphingomonas	EPS1.F1	0
Rhodobacter	EPS1.F2	0
Paracoccus/Rhodobacter	EPS1.F3	0
Ancylobacter	EPS1.F6	0
Sphingomonas	EPS1.G2	0
Shewanella	EPS1.G9	0
Microbacterium	EPS1.H1	0
Sinorhizobium	EPS1.H4	0
Rhizobium	EPS2.A1	0
Agrobacterium	EPS2.A2	0
Rhizobium	EPS2.A3	0
Ancylobacter	EPS2.A5	0
Rhizobium	EPS2.A7	0
Sphingomonas	EPS2.A12	0
Sphingomonas	EPS2.B2	0
Herbaspirillum	EPS2.B8	0
Bacillus	EPS2.B9	0
Microbacterium	EPS2.B10	0
Microbacterium	EPS2.B11	0
Microbacterium	EPS2.B12	0
Microbacterium	EPS2.C8	0
Microbacterium	EPS2.C10	0
Microbacterium	EPS2.C11	0
Bacillus	EPS2.D5	0
Brevundimonas	EPS2.D8	0
Bacillus	EPS2.D9	0
Bacillus	EPS2.D10	0
Bacillus	EPS2.D11	0
Bacillus	EPS2.D12	0
Gluconacetobacter	EPS2.E6	0
Gluconacetobacter	EPS2.E7	0
Rahnella	EPS2.E8	0
Beijerinckia mobilis, related	EPS2.F3	0
Gluconacetobacter	EPS2.F6	0
Gluconacetobacter	EPS2.F7	0
Rahnella	EPS2.F10	0
Beijerinckia indica	EPS2.G1	0
Rhodococcus	EPS2.G7	0
Rhodococcus	EPS2.G8	0
Rhodococcus	EPS2.G9	0
Nocardiopsis	EPS2.G10	0
Xanthomonas	EPS2.H9	0
Xanthomonas	EPS2.H10	0
Agrobacterium	EPS2.H11	0
Agrobacterium	EPS2.H12	0

